"","X","time","text","user_followers","user_verified","likes","retweets"
"121","165","01/01/2023, 23:55:40","Bowtie pasta makes everything look bad 😭",1206,0,1,0
"122","166","01/01/2023, 23:55:34","@Nick_Smec @FrostActual @Italian347 @ArArtsakh Careful greaseball or I’ll tell Trudeau to stop exporting Durhum whe… https://t.co/Hl9GHAQDJd",65,0,10,1
"123","167","01/01/2023, 23:55:07","@neonullbeepboop TECHNICALLY still pasta but just gooier",2165,0,3,0
"124","168","01/01/2023, 23:54:43","me after 2 bites of my pasta https://t.co/DkXdKsPdj8",624,0,5,0
"125","169","01/01/2023, 23:54:27","@hannaween3 this is very italian-american of me, but pasta.",643,0,0,0
"126","172","01/01/2023, 23:53:51","House cleaned. Literally all we finna do is eat this pasta &amp; watch movies. Might throw some yoga in there",1406,0,0,0
"127","173","01/01/2023, 23:53:41","@pasta_mouse Read tht too late😵‍💫",860,0,0,0
"128","175","01/01/2023, 23:52:34","@rb01234 @AlpacaAurelius No sauce and no pasta.

That's why fat Italians get fat.

Then they get jealous.

Fat delu… https://t.co/x2pRrZSRsH",125,0,0,0
"129","177","01/01/2023, 23:51:42","@ThatsSoAyami pasta or maybe sushi? whats ur preference 🫶",89,0,0,0
"130","178","01/01/2023, 23:51:06","@Liamfitzy87 @JerseyDevils27 @NJDevils To be fair, we could get Pasta for sure in the off season. He’s a free agent… https://t.co/2VKlqL0fdW",173,0,1,0
"131","179","01/01/2023, 23:51:05","Gotta be honest 

I hate this. 

I hate this so much. It makes me so uncomfortable. Did they have to put sauce in i… https://t.co/i7dRmAVHNg",115,0,1,0
"132","180","01/01/2023, 23:51:04","@TheLightSpeedz @BambulabGlobal @Polymaker_3D @rmrrf @Thangs3DSearch @J3D_Prints @PluralMakes @reprinted3D… https://t.co/6CIY0BvYf3",111168,1,2,1
"133","181","01/01/2023, 23:50:58","@juke_box8 that's some dead pasta

I guess it-
*pasta* way",122,0,2,0
"134","182","01/01/2023, 23:50:41","Pasta making. Still not pretty, but a good start. https://t.co/gIE6pPlAUU",128,0,2,0
"135","183","01/01/2023, 23:50:40","2023
- Justin Hawkins and Sam Ryder 👏
- really good scrambled eggs
- very big nap
- cooked EXACTLY THE RIGHT AMOUNT… https://t.co/Qx8tqUcrE8",639,0,0,0
"136","184","01/01/2023, 23:50:38","Pasta Maker, Electric Noodle Press Machine Spaghetti Pasta Maker Commercial Stainless Steel Dough Cutter Dumplings… https://t.co/r1YJrCFtB4",6,0,0,0
"137","185","01/01/2023, 23:50:37","@ougiaurora creepy pasta",1009,0,1,0
"138","186","01/01/2023, 23:50:36","Commercial Table Top 2 Baskets LPG Pasta Cooking Machine Dual Hole Pasta Cooker Noodles Cooker Pasta Maker EILB5NE… https://t.co/LcRx5AgdtR",11,0,0,0
"139","187","01/01/2023, 23:50:11","@TonyTodd54 Happy New Year!!! The pasta looks good!!!!! Enjoy!!!!",77,0,1,0
"140","188","01/01/2023, 23:50:06","I thought of this in Vee's comment section and I don't want a good pasta to go to waste. Here you go. https://t.co/QvZVMBMmet",32,0,0,0
"141","189","01/01/2023, 23:49:57","@pasta_mouse Lol felt it needed to be asked… But rereading the statement, I see how things would end up muddy",6100,0,0,0
"142","192","01/01/2023, 23:49:28","Instagram has only now decided to send me the notification for Pasta's video of JD, like 18 hours after he posted it lmao fix ur shit ig",1206,0,0,0
"143","193","01/01/2023, 23:49:21","pasta holding the pasta pasta!! https://t.co/opCuzP1aPv",549,0,13,1
"144","194","01/01/2023, 23:49:20","@rei_toka NOT THIS UFKCING COPY PASTA IM SO ILLLLLLL",451,0,1,0
"145","195","01/01/2023, 23:49:05","I LOVE MY FRIENDS ART‼️‼️‼️",74,0,8,0
"146","196","01/01/2023, 23:48:57","Happy New Year from @RanneyAthletics girls BBall! Starting 2023 off with a pasta dinner from Olivia’s in Little Sil… https://t.co/waSzajAKt4",244,0,13,2
"147","197","01/01/2023, 23:48:54","@NotEye_ @MorgothArc @LittenDraws pizza, pasta, put it in a box~",71,0,4,0
"148","199","01/01/2023, 23:48:53","Wonder Noodles - Variety Pack, - Carb-Free, Keto Pasta - Gluten-Free, Kosher, Vegan, Zero Calories - ready to eat (… https://t.co/5svgavsaCR",16,0,0,0
"149","200","01/01/2023, 23:48:48","Hearts of Palm Pasta Natural Heaven &amp; Palmini (Angel Hair, Linguine, Lasagna Noodles) Variety Keto Pasta Box - Low… https://t.co/RSmks4uKdd",20,0,0,0
"150","202","01/01/2023, 23:48:48","tri color pasta night",1137,0,0,0
"151","203","01/01/2023, 23:48:47","Mantova Organic Pasta Paccheri Non-Gmo Durum Semolina Pasta Large Noodles, 1lb  Packages (Pack Of 6) - Imported fro… https://t.co/skmJfyL6a9",30,0,0,0
"152","204","01/01/2023, 23:48:47","Italian Donne Del Grano Organic Zebra Bowties (Farfallini Magia Bianca) Colored Pasta, 8 8 Ounces, Pack of 4 NIWR8H… https://t.co/obAQ3T01PW",9,0,0,0
"153","205","01/01/2023, 23:48:47","@wendeeluvz I don't eat any of this but pasta.",492,0,0,0
"154","207","01/01/2023, 23:48:43","I want to eat more pasta this year and expand my coffee tastes as well as different types of pastries",37,0,0,0
"155","209","01/01/2023, 23:48:20","@trblhwng pasta is amazeballs",187,0,1,0
"156","210","01/01/2023, 23:48:04","@LauraLoomer Decades ago, Luther Vandross described an imaginary line up to which he could eat white foods (bread,… https://t.co/EAgViRmrGm",3297,0,2,0
"157","212","01/01/2023, 23:47:36","WAKE UP",74,0,9,0
"158","213","01/01/2023, 23:47:30","Babe what's wrong? You've barely touched your Pasta made from Pasta statue https://t.co/lcnWvHaPII",77940,1,159,5
"159","214","01/01/2023, 23:47:25","@BukkitBrown I was playing Elden Ring while eating pasta salad from a plastic tub and drinking bourbon at midnight… https://t.co/QZe2kQH9lv",284,0,0,0
