"","X","time","text","user_followers","user_verified","likes","retweets"
"89","2888","01/01/2023, 19:51:15","Polish food 🇵🇱
#inspirebar #rawaiphuket #rawai #bestdinner #enjoy #party #homemade #phuketisland #phuketnight… https://t.co/G4zUf9JJbN",4,0,0,0
"90","96","01/01/2023, 23:51:43","This session was yummy….. for him 😈😂 -paypig -findom -cei -humanatm -whalesub https://t.co/6JX8lJOKxS",1439,0,7,5
"91","4681","01/02/2023, 23:54:51","@Touyarokii delicious! https://t.co/4FXNeGjjBU",487,0,0,0
"92","594","01/01/2023, 23:35:27","@RipleyGames There are good tasting seltzer waters once you’re taste buds adjust. Especially if you like carbonated drinks.",123,0,0,0
"93","4127","12/31/2022, 21:22:23","https://t.co/nBDEyzbvEv New Youtube Out #hacks #food #drink #hack #blender #fyp #foryou #foryoupage #viral… https://t.co/ZVG6RkJj7P",163,0,1,0
"94","3557","01/02/2023, 16:55:03","Health is your precious gift – maintain it.
.
.
.
.
.
#healthylifestyle #healthyfood #fitness #health #healthy… https://t.co/pTlINYTr02",13,0,0,0
"95","9527","01/04/2023, 23:59:52","@__Francis03 @sportingking365 Inno chop throughout today 😭 I'm not lying oh, aswear, God dey see me laidis... na me… https://t.co/1R3rK9AF0h",105,0,0,0
"96","11738","01/04/2023, 23:58:26","@bibi_gg2 I personally recommend you briwat with shrimp, they’re easy to find and they’re really delicious, a bit spicy tho",165,0,1,0
"97","13706","01/03/2023, 23:53:50","Recently played: 10 To Lunch - Love &amp; War (04:37)  #italo #iventi #nowplaying https://t.co/8wrkUua0qr https://t.co/bRB7XVTmcW",187,0,0,0
"98","501","01/01/2023, 23:46:52","Users can save and share, effectively being creators themselves using the app. Take on incumbent @Allrecipes,… https://t.co/9tBWVRtK5u",2,0,0,0
"99","916","12/31/2022, 23:29:50","New Years Eve Dinner with my girl.

Pair of 16oz Strip Steaks Cast Iron Seared w/ roasted red &amp; white potatoes...… https://t.co/85LpRvTEqi",458,0,0,0
"100","6403","12/31/2022, 11:30:30","▂▂▂▂▂▂▂▂▂▂▂▂▂▂
Less than 30 minutes to

@MusiqWorks's #WeeklyGrooves

EPISODE #115 | #REPLAY

🎛️Weekly
🕺 #Groove
🎚️… https://t.co/htWEPxc719",43181,0,1,0
"101","2881","01/01/2023, 20:26:02","Starting off the NEW YEAR with GOOD EATS @dimmickinn  with their Seafood Cakes #yummy @ Dimmick Inn https://t.co/12ZJV7Mazy",230,0,0,0
"102","2687","01/02/2023, 18:18:37","Look through this recipe collection to find a #tasty Mexican bread to make. #homecooking  https://t.co/0cxVB3VBCW https://t.co/KRe82s0KZE",8,0,0,0
"103","3803","12/31/2022, 23:59:12","Now the offense is cooking but the defense can’t stop a nosebleed",3419,0,4,0
"104","314","01/01/2023, 22:39:41","@OfficialVoyage I was up all night trying to order food delivery from closed restaurants. 😩",2775,0,1,0
"105","7425","01/01/2023, 23:48:19","HILLSHIRE FARM COLD CUTS LUNCH MEAT HONEY ROASTED TURKEY BREAST ULTRA THIN 9 OZ PACK OF 3 C8RAFI8… https://t.co/xcFNyhK1E0",33,0,0,0
"106","4068","01/02/2023, 23:53:54","After cooking https://t.co/SoYTCQ8FDN",20183,0,3,0
"107","11763","01/04/2023, 23:57:01","@o2bnobx Like I say, it looks delicious, and now it sounds all the more delicious. I think that is getting into scrumptious.",96,0,1,0
"108","3597","12/31/2022, 22:48:00","Can't choose beautiful things.❤
🔎Item name: Julie
🛒Shop here&gt;&gt;https://t.co/XlLbQTd1J3
🔥Code “HNY2023"" to “Buy One G… https://t.co/O1eVVOgYqn",49,0,0,0
"109","11462","01/03/2023, 21:40:12","Job Alert: Sous Chef (#Chandler, Arizona) Pesto's Italian #job #KnifeSkills #RecipeDevelopment #MenuPlanning… https://t.co/i5NSTHj3FT",732,0,0,0
"110","14470","01/04/2023, 00:24:00","@BertSmedley @DalaiLama @mrblairbowman Drivin Smedders …. Collecting beautiful legumes and veggy goodness fer… https://t.co/HccL55pTjW",127,0,3,0
"111","7308","12/31/2022, 23:50:49","@MadScientistFF lunch",409,0,0,0
"112","12902","01/03/2023, 02:18:29","marvin riley eating dick 2
#blowjob #naked #eating-dick https://t.co/i2VufDRjKb",13,0,0,0
"113","4026","01/02/2023, 23:56:31","@lance_cotten I enjoy cooking and I do all the cooking all the time. I rarely eat out and when I do, I usually leav… https://t.co/tywhptUJGL",13267,0,1,0
"114","4319","01/02/2023, 22:15:30","""PERFECT WAY TO COOK CHICKEN BREAST FILLET! INCREDIBLY DELICIOUS &amp; JUICY""

Click here to see the prep video &amp; ingre… https://t.co/ZtTnLg4ZD3",189,0,0,0
"115","6662","12/31/2022, 23:59:08","Early dinner at Bar Sofia for New Year’s Eve. Now I’m full of bourbon, tuna, and churros, and there’s no way I’m seeing midnight.",3010,0,24,0
"116","11680","01/03/2023, 23:56:10","@GLYTCHEnergy @i0ki_LoL Looks delicious!!!",437,0,1,0
"117","1584","01/02/2023, 23:58:55","@aliceinbrlnd nah fr i'll order all my favorite food and enjoy my alone time like what ???",906,0,3,0
"118","13476","01/03/2023, 21:07:26","It’s the 1st of the month! #HappyNewYear #dinner #momlife #myjazzylife #funnyshorts https://t.co/SvZGpl3USr",1,0,0,0
"119","14882","01/04/2023, 18:49:04","**Daryl Devoré's Blog**: A New Year and a new book by Daryl Devore - A Voice in the Air - on #MFRWhooks #MFRWAuthor… https://t.co/tRYzU6B6qP",1604,0,0,0
"120","12849","01/03/2023, 16:21:45","I want a sexy girl to eat my pussy rn? Who lives in Brooklyn text me 

#ebony #ebonylesbain #eating #squirting #lesbains",2691,0,4,0
"121","4439","12/31/2022, 23:57:23","A delicious 8.2% IPA before dinner never hurt anyone 🍻 - Drinking a Space Dust IPA by @ElysianBrewing @ Hyatt Regen… https://t.co/SNKjtfUZwA",2265,0,1,0
"122","735","01/01/2023, 20:25:47","Reading about this: Essentials Of #Cooking - The Problem Of #Food #FrizeMedia - https://t.co/olunuKLdCD… https://t.co/raHmYBJH05",16440,0,0,0
"123","14168","01/04/2023, 23:57:54","I will become a champion for the teens",1200,0,21,0
"124","1375","12/31/2022, 23:59:22","@joinmastodon 
FOR #POETRYATWORKDAY (1/10/23)
Treat yourself to some work related #poems I wrote called ""Sales Call… https://t.co/5BDHL71xvI",72,0,0,0
"125","6188","01/01/2023, 08:29:28","#Young thot hoe #eating #dick https://t.co/nH5iPVrwsh",6975,0,0,0
"126","9860","01/03/2023, 20:23:42","Fresh fruit breakfast.  #iphone13promax #iphoneonly #iphonephotography #foodporn #food #foodie #foodphotography… https://t.co/1ceGSgFKek",33,0,0,0
"127","9728","01/04/2023, 23:48:03","View the Complete Nutrient Profile of a Cottage cheese  
 https://t.co/uDt7FUxZNy 

 #food #Cottage #cheese  #food… https://t.co/sY5YIw02X1",64,0,0,0
"128","402","01/01/2023, 21:25:03","I Tried 20 Cans of Tuna — These Are the 4 I’ll Buy Again https://t.co/FrbcXDdexJ #recipes #splendidum.com https://t.co/1IjZI8fGBj",725,0,0,0
"129","1006","01/01/2023, 23:57:21","i’m really hungry but don’t wanna cook and don’t want spend my money so wtf 😑",2466,0,0,0
"130","5198","01/02/2023, 23:44:19","This is some dirty slop on a plate. Potato with sour cream, chopped pork, cheddar cheese, cavenders seasoning, and… https://t.co/ip3yeuUQlL",9,0,0,0
"131","8063","01/02/2023, 23:58:20","@BrandonLBradfor Specifically, it’s us. It’s New Jersey. We are the ones who make it so the pizza and bagels suck e… https://t.co/GzVlhN7nRC",135,0,1,0
"132","62","01/01/2023, 23:58:57","@Asmongold This is gonna require you to eat double the food you eat during the day, minimum. 
Good luck",148,0,1,0
"133","815","01/01/2023, 14:56:02","Soft Drink - Cafe Variety Pack Soylent Meal Replacement Shake, Cafe Variety Pack, Complete Meal in a ==&gt;… https://t.co/qjVAdyOq6S",1392,0,6,0
"134","13831","01/03/2023, 20:20:09","#TuesdayMotivaton #tuesdayvibe #Tuesday #lunch #Food #Foodie don’t mind if i do 😂 😝 https://t.co/yKyOcdC3dc",1814,0,4,0
"135","13363","01/04/2023, 23:58:07","I found this new new rock this dinner time",5,0,0,0
"136","9557","01/04/2023, 23:59:29","Me &amp; the gang had a sesh before going out &amp; we cleared 4 baskets before our food came out &amp; STILL ATE https://t.co/55zUP2rvXM",121,0,1,0
"137","1929","12/31/2022, 19:10:02","Happy New Years Eve! Caviar, aka Roe, is commonly served during special occasions &amp; celebrations, briny-salty flavo… https://t.co/djZonroEnu",75,0,0,0
"138","174","01/01/2023, 23:52:57","@PASTA_PR3SS false",121,0,1,0
"139","2739","01/02/2023, 10:28:11","#chiken #food #foodie #foodporn #foodlover #instafood #yummy #foodphotography #delicious #life #tasty #foodstagram… https://t.co/7QYPPalIrq",4,0,0,0
"140","5434","12/31/2022, 15:02:21","We can all use a little luck as we ease into the new year, right? These Instant Pot Black Eyed Peas are a New Year'… https://t.co/alVxsBGqTW",14089,0,2,0
"141","8725","01/02/2023, 23:55:40","@kimongus Naur I'm not a vegetarian",5,0,1,0
"142","8670","01/01/2023, 23:30:26","@ripchester31 @AvatarNews_ aang is an Asian feminist who's also a vegetarian and a pacifist, and pretty much a sjw.",11,0,4,0
"143","3864","12/31/2022, 23:55:31","I'm shocked that TCU is just cooking the Michigan defense.",867,0,0,0
"144","1666","12/31/2022, 23:31:34","I got me some food #food #ubereats #roblox #realife #21 https://t.co/moj90tYIFG",6,0,0,1
"145","2712","01/02/2023, 15:18:37","#Welcome2023
Healthy Choco Cookies🍪
.
#cookies #coffee #delicious #birthday #sweet #bhfyp #vegan #cake #chocolate… https://t.co/mA4BYVuAFU",15,0,1,0
